,Emergence,SIA,summed_probabilities,numSIA
278,ANG-MOX-1,COD-2018-015,2.50E-05,14
279,ANG-MOX-1,COD-2018-016,0.388,15
280,ANG-MOX-1,COD-2018-017,0,16
281,ANG-MOX-1,COD-2019-003,0.00425,17
282,ANG-MOX-1,COD-2019-012,0,18
283,ANG-MOX-1,COD-2019-013,0,19
284,ANG-MOX-1,COD-2019-015,0,20
285,ANG-MOX-1,COD-2019-016,0,21
286,ANG-MOX-1,COG-2016-005,0,22
287,ANG-MOX-1,ETH-2016-002,0,23
288,ANG-MOX-1,ETH-2018-003,0,24
289,ANG-MOX-1,ETH-2018-004,0,25
290,ANG-MOX-1,KEN-2018-003,0,26
291,ANG-MOX-1,KEN-2018-004,0,27
292,ANG-MOX-1,MOZ-2017-002,0,28
293,ANG-MOX-1,MOZ-2019-001,0,29
294,ANG-MOX-1,MOZ-2019-002,0,30
295,ANG-MOX-1,MOZ-2019-003,0,31
296,ANG-MOX-1,MOZ-2019-004,0,32
297,ANG-MOX-1,NER-2016-001,0,33
298,ANG-MOX-1,NER-2017-012,0,34
299,ANG-MOX-1,NER-2018-005,0,35
300,ANG-MOX-1,NER-2018-006,0,36
301,ANG-MOX-1,NER-2018-008,0,37
302,ANG-MOX-1,NGA-2016-018,0,38
303,ANG-MOX-1,NGA-2016-019,0,39
304,ANG-MOX-1,NGA-2016-021,0,40
305,ANG-MOX-1,NGA-2016-024,0,41
306,ANG-MOX-1,NGA-2016-025,0,42
307,ANG-MOX-1,NGA-2016-034,0,43
308,ANG-MOX-1,NGA-2017-020,0,44
309,ANG-MOX-1,NGA-2017-021,0,45
310,ANG-MOX-1,NGA-2017-024,0,46
311,ANG-MOX-1,NGA-2018-012,0,47
312,ANG-MOX-1,NGA-2018-014,0,48
313,ANG-MOX-1,NGA-2018-017,0,49
314,ANG-MOX-1,NGA-2018-018,2.50E-05,50
315,ANG-MOX-1,NGA-2018-019,0,51
316,ANG-MOX-1,NGA-2018-020,0,52
317,ANG-MOX-1,NGA-2018-022,0,53
318,ANG-MOX-1,NGA-2018-023,0,54
319,ANG-MOX-1,NGA-2018-025,0,55
320,ANG-MOX-1,NGA-2019-004,0,56
321,ANG-MOX-1,NGA-2019-007,0,57
322,ANG-MOX-1,NGA-2019-019,0,58
323,ANG-MOX-1,NGA-2019-024,0,59
324,ANG-MOX-1,SDN-2016-001,0,60
325,ANG-MOX-1,SOM-2017-011,0,61
326,ANG-MOX-1,SOM-2018-004,0,62
327,ANG-MOX-1,SOM-2018-007,0,63
328,ANG-MOX-1,SOM-2018-008,0,64
329,ANG-MOX-1,SOM-2018-009,0,65
330,ANG-MOX-1,SOM-2018-011,0,66
331,CAF-BAM-1,CAF-2019-005,0,1
332,CAF-BAM-1,COD-2016-001,0,2
333,CAF-BAM-1,COD-2017-006,0,3
334,CAF-BAM-1,COD-2017-007,0,4
335,CAF-BAM-1,COD-2017-009,0,5
336,CAF-BAM-1,COD-2017-011,0,6
337,CAF-BAM-1,COD-2017-014,0,7
338,CAF-BAM-1,COD-2018-005,0,8
339,CAF-BAM-1,COD-2018-009,0,9
340,CAF-BAM-1,COD-2018-010,0,10
341,CAF-BAM-1,COD-2018-011,0.314625,11
